math_score,Reading_Score,Writing_Score,Placement_Score,Club_join_date,Placement_offer,Offer_Count
73,78,79,79,2026,2,1
64,75,66,75,2022,3,1
61,92,76,89,2025,2,3
73,91,69,93,2021,2,3
66,95,61,98,2020,2,1
72,87,67,80,2026,2,2
69,76,71,76,2018,2,1
71,89,79,76,2024,2,1
80,89,,83,2021,2,1
66,87,,91,2024,2,2
100,82,75,80,2020,2,2
79,95,,80,2018,2,2
80,93,,96,2019,2,2
62,85,70,91,2026,2,1
62,83,,100,2025,2,2
63,84,78,82,2020,2,2
72,87,76,92,2022,2,1
60,76,68,86,2026,2,3
76,88,62,80,2020,2,3
77,78,62,,2022,1,2
,77,74,,2019,1,2
80,93,65,,2026,1,1
,76,62,98,2023,2,2
64,76,68,77,2018,2,2
76,85,71,85,2022,2,1
,95,77,87,2026,2,2
79,91,78,79,2026,2,3
77,77,68,98,2020,2,2
67,84,77,97,2024,2,3
70,75,68,89,2019,2,3
63,76,74,80,2022,2,1
62,,76,92,2023,2,1
72,92,63,78,2020,2,3
60,80,72,75,2025,3,3
75,79,66,87,2026,2,3
72,87,66,100,2019,2,1
65,80,79,89,2026,2,2
79,78,76,76,2022,2,2
77,89,200,75,2020,3,3
65,84,71,76,2020,2,2
72,90,79,91,2024,2,2
75,86,77,95,2021,2,1
69,81,62,83,2021,2,3
78,78,60,96,2020,2,1
61,79,65,95,2022,2,3
5,78,68,82,2024,2,2
74,82,71,96,2018,10,2
71,84,78,100,2025,10,3
61,83,77,80,2022,2,3
